IP,Timestamp,HTTP_Method,Request_Path,HTTP_Status,Response_Size,Referer,User_Agent,Server_IP
access.log:10.90.175.27,09/Aug/2023:23:44:32 +0800,POST,/gmp/mm/supplychainmanager/changeDetail/load,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:32 +0800,POST,/gmp/mm/supplychainmanager/changeDetail/saveList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:33 +0800,POST,/gmp/mm/supplychainmanager/changeItem/insert,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:33 +0800,POST,/gmp/mm/supplychainmanager/changeItem/insertList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:33 +0800,POST,/gmp/mm/supplychainmanager/changeItem/queryChangeItemByDoneCount,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:34 +0800,POST,/gmp/mm/supplychainmanager/changeItem/updateSpecifiedColumn/,400,435,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:34 +0800,POST,/gmp/mm/supplychainmanager/changeSync/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:35 +0800,POST,/gmp/mm/supplychainmanager/classifyIdInfos/logicDelete/,400,435,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:35 +0800,POST,/gmp/mm/supplychainmanager/classifyIdInfos/saveList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:36 +0800,POST,/gmp/mm/supplychainmanager/classifyInputs/logicDeleteList/,400,435,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
